cycle,stall,pc,IF,ID,EX,MEM,WB,occupancy
1,False,1,"ADD x1 <- x2,x3",---------------,---------------,---------------,---------------,1
2,False,2,"ADD x4 <- x1,x5","ADD x1 <- x2,x3",---------------,---------------,---------------,2
3,False,3,"ADD x8 <- x6,x7","ADD x4 <- x1,x5","ADD x1 <- x2,x3",---------------,---------------,3
4,True,3,"ADD x8 <- x6,x7","ADD x4 <- x1,x5",---------------,"ADD x1 <- x2,x3",---------------,3
5,True,3,"ADD x8 <- x6,x7","ADD x4 <- x1,x5",---------------,---------------,"ADD x1 <- x2,x3",3
6,False,4,"SUB x9 <- x1,x8","ADD x8 <- x6,x7","ADD x4 <- x1,x5",---------------,---------------,3
7,False,4,---------------,"SUB x9 <- x1,x8","ADD x8 <- x6,x7","ADD x4 <- x1,x5",---------------,3
8,True,4,---------------,"SUB x9 <- x1,x8",---------------,"ADD x8 <- x6,x7","ADD x4 <- x1,x5",3
9,True,4,---------------,"SUB x9 <- x1,x8",---------------,---------------,"ADD x8 <- x6,x7",2
10,False,4,---------------,---------------,"SUB x9 <- x1,x8",---------------,---------------,1
11,False,4,---------------,---------------,---------------,"SUB x9 <- x1,x8",---------------,1
12,False,4,---------------,---------------,---------------,---------------,"SUB x9 <- x1,x8",1
13,False,4,---------------,---------------,---------------,---------------,---------------,0
